ISIN,Name,Symbol,Type,TER,Dividendi
DE0002635265,ISHARES PFANDBRIEFE UCITS ETF,EXHE,ETF,"0,10%",QUARTERLY
DE0002635299,ISHARES STX EUROPE SEL DIV 30 UCITS ETF,EXSH,ETF,"0,32%",QUARTERLY
DE0002635307,ISHARES STOXX EUROPE600EUR DIS UCITS ETF,EXSA,ETF,"0,20%",QUARTERLY
DE0005933931,ISHARES CORE DAX UCITS ETF,EXS1,ETF,"0,17%",
DE000A0D8Q07,ISHARES EURO STOXX UCITS ETF,EXSI,ETF,"0,21%",QUARTERLY
DE000A0D8Q49,ISHARES DJ US SELECT DIVIDEND UCITS ETF,EXX5,ETF,"0,32%",QUARTERLY
DE000A0H0728,ISHARES DIVERS COMMODITY SWAP UCITS ETF,EXXY,ETF,"0,47%",
DE000A0Q4RZ9,ISHARES EB.REXX GOV.GER. 0-1YR UCITS ETF,EXVM,ETF,"0,13%",ANNUALLY
FR0007054358,LXR EUR STOXX 50 DR - ACC UCITS ETF,MSE,ETF,"0,20%",SEMI-ANNUALLY
FR0007056841,LYXOR DJ INDUST AVERAGE UCITS ETF - DIST,DJE,ETF,"0,50%",SEMI-ANNUALLY
FR0007075494,LYXOR UCITS ETF DJ GLOBAL TITANS 50,MGT,ETF,"0,40%",SEMI-ANNUALLY
FR0010010827,LYXOR FTSE MIB (DR) - DIST UCITS ETF,ETFMIB,ETF,"0,35%",SEMI-ANNUALLY
FR0010245514,LYXOR JAPAN TOPIX DR UCITS ETF - DIST,JPN,ETF,"0,45%",SEMI-ANNUALLY
FR0010261198,LXR MSCI EUROPE - ACC UCITS ETF,MEU,ETF,"0,25%",SEMI-ANNUALLY
FR0010296061,LXR MSCI USA ESG BROAD CTB (DR UCITS ETF,LUSA,ETF,"0,09%",SEMI-ANNUALLY
FR0010315770,LYXOR MSCI WORLD UCITS ETF - DIST,WLD,ETF,"0,30%",SEMI-ANNUALLY
FR0010361683,LYXOR MSCI INDIA UCITS ETF - ACC,INDI,ETF,"0,85%",
FR0010405431,LYXOR MSCI GREECE UCITS ETF,GRC,ETF,"0,45%",ANNUALLY
FR0010424143,LYXOR ESTX50 DAILY -2X INV UCITS ETF ACC,BXX,STRUCTURED ETF,"0,60%",
FR0010429068,LYXOR MSCI EMERGING MKTS UCITS ETF ACC,EMKT,ETF,"0,55%",
FR0010446146,LYXOR FTSEMIB DAI -1X BEAR UCITS ETF ACC,BERMIB,STRUCTURED ETF,"0,60%",
FR0010446658,LYXOR FTSEMIB DAI 2X LEV UCITS ETF DIST,LEVMIB,STRUCTURED ETF,"0,60%",ANNUALLY
FR0010446666,LYXOR FTSEMIB DAI -2X XBR UCITS ETF ACC,XBRMIB,STRUCTURED ETF,"0,60%",
FR0010468983,LYXOR ESTX50 DAILY 2X LEV UCITS ETF ACC,DJLEV,STRUCTURED ETF,"0,40%",
FR0010510800,LYXOR EURO OVERNIGHT RETURN UCITS ETF,LEONIA,ETF,"0,10%",
FR0010524777,LXR MSCI NW ENRG ESG FILT DIS UCITS ETF,ENER,ETF,"0,60%",ANNUALLY
FR0010527275,LXR MSCI WATER ESG FILTER (DR) UCITS ETF,WAT,ETF,"0,60%",SEMI-ANNUALLY
IE0005042456,ISHARES CORE FTSE 100 UCITS ETF DIST,ISF,ETF,"0,07%",QUARTERLY
IE0008470928,ISHARES STOXX EUROPE 50 UCITS ETF DIST,EUN,ETF,"0,35%",QUARTERLY
IE0008471009,ISHARESCOREEUROSTOXX50€(DIST) UCITS ETF,EUE,ETF,"0,10%",QUARTERLY
IE0031442068,ISHARESCORES&P500$(DIST) UCITS ETF,IUSA,ETF,"0,07%",QUARTERLY
IE0032077012,INVESCO EQQQ NASDAQ-100 UCITS ETF,EQQQ,ETF,"0,20%",QUARTERLY
IE0032523478,ISHARES CORP BOND LAR CAP UCITS ETF DIST,IBCX,ETF,"0,20%",QUARTERLY
IE0032895942,ISHARES $ CORP BOND UCITS ETF USD DIST,LQDE,ETF,"0,20%",QUARTERLY
IE00B02KXH56,ISHARES MSCI JAPAN UCITS ETF USD DIST,IJPN,ETF,"0,59%",SEMI-ANNUALLY
IE00B02KXK85,ISHARES CHINA LARGE CAP UCITS ETF DIST,FXC,ETF,"0,74%",QUARTERLY
IE00B02KXL92,ISHARES EURO STOXX MID UCITS ETF DIST,DJMC,ETF,"0,40%",QUARTERLY
IE00B02KXM00,ISHARES EURO STOXX SMALL UCITS ETF DIST,DJSC,ETF,"0,40%",QUARTERLY
IE00B0M62Q58,ISHARES MSCI WORLD UCITS ETF USD DIST,IWRD,ETF,"0,50%",QUARTERLY
IE00B0M62S72,ISHARES EURO DIVIDEND UCITS ETF EUR DIST,IDVY,ETF,"0,40%",QUARTERLY
IE00B0M62X26,ISHARES INFL LINKED GOVT UCITS ETF ACC,IBCI,ETF,"0,90%",QUARTERLY
IE00B0M63060,ISHARES UK DIVIDEND UCITS ETF DIST,IUKD,ETF,"0,40%",QUARTERLY
IE00B0M63177,ISHARES MSCI EM UCITS ETF DIST,IEEM,ETF,"0,18%",QUARTERLY
IE00B0M63284,ISHARES EURO PROP YIELD UCITS ETF DIST,IPRP,ETF,"0,40%",QUARTERLY
IE00B0M63391,ISHARES MSCI KOREA UCITS ETF USD DIST,IKOR,ETF,"0,74%",QUARTERLY
IE00B0M63516,ISHARES MSCI BRAZIL UCITS ETF DIST,IBZL,ETF,"0,74%",QUARTERLY
IE00B0M63623,ISHARES MSCI TAIWAN UCITS ETF USD DIST,ITWN,ETF,"0,74%",QUARTERLY
IE00B0M63730,ISHARES MSCI AC FARE EX-J UCITS ETF DIST,IFFF,ETF,"0,74%",QUARTERLY
IE00B14X4M10,ISHARES MSCI NORTH AMER UCITS ETF DIST,INAA,ETF,"0,40%",QUARTERLY
IE00B14X4N27,ISHARES MSCI EURO EX-UK UCITS ETF DIST,IEUX,ETF,"0,40%",QUARTERLY
IE00B14X4Q57,ISHARES GOVT BOND 1-3YR UCITS ETF DIST,IBGS,ETF,"0,15%",SEMI-ANNUALLY
IE00B14X4S71,ISHARES $ TREASURY 1-3YR UCITS ETF DIST,IBTS,ETF,"0,07%",SEMI-ANNUALLY
IE00B14X4T88,ISHARES ASIA PACIF DIVID UCITS ETF DIST,IAPD,ETF,"0,59%",QUARTERLY
IE00B1FZS244,ISHARES ASIA PROPERTY YLD UCITS ETF DIST,IASP,ETF,"0,59%",QUARTERLY
IE00B1FZS350,ISHARES DEV MKT PROP YLD UCITS ETF DIST,IWDP,ETF,"0,59%",QUARTERLY
IE00B1FZS467,ISHARES GLOBAL INFRASTR UCITS ETF DIST,INFR,ETF,"0,65%",QUARTERLY
IE00B1FZS574,ISHARES MSCI TURKEY UCITS ETF USD DIST,ITKY,ETF,"0,74%",SEMI-ANNUALLY
IE00B1FZS681,ISHARES EURO GOVT BOND 3-5YR UCITS ETF,IBGX,ETF,"0,15%",SEMI-ANNUALLY
IE00B1FZS798,ISHARES $ TREASURY 7-10YR UCITS ETF DIST,IBTM,ETF,"0,07%",SEMI-ANNUALLY
IE00B1FZS806,ISHARES EU GOVT 7-10YR UCITS ETF DIST,IBGM,ETF,"0,15%",SEMI-ANNUALLY
IE00B1FZS913,ISHARES EU GOVT 15-30YR UCITS ETF DIST,IBGL,ETF,"0,15%",SEMI-ANNUALLY
IE00B1FZSB30,ISHARES CORE UK GILTS UCITS ETF GBP DIST,IGLT,ETF,"0,07%",SEMI-ANNUALLY
IE00B1FZSC47,ISHARES $ TIPS UCITS ETF USD ACC,ITPS,ETF,"0,10%",
IE00B1FZSF77,ISHARES US PROPERTY YIELD UCITS ETF,IUSP,ETF,"0,40%",QUARTERLY
IE00B1TXK627,ISHARES GLOBAL WATER UCITS ETF USD DIST,IH2O,ETF,"0,65%",SEMI-ANNUALLY
IE00B1TXLS18,ISHARES UK PROPERTY UCITS ETF GBP DIST,IUKP,ETF,"0,40%",QUARTERLY
