ISIN,Name,Symbol,Type,TER,Trading Currency
IE00BKPTXQ89,Alerian Midstream Energy Dividend UCITS ETF - Dist,MMLP,passive,0.4,CHF
LU1681041387,AMUNDI BBB EURO CORPORATE INVESTMENT GRADE ESG UCITS ETF DR,CBBB,passive,0.2,EUR
LU1829218749,Amundi Bloomberg EW Commodity ex-Agriculture UCITS ETF Acc,CRB,passive,0.3,CHF
LU1829218749,Amundi Bloomberg EW Commodity ex-Agriculture UCITS ETF Acc,CRB,passive,0.3,USD
LU1681046931,AMUNDI CAC 40 ESG UCITS ETF DR - EUR (C),C40,passive,0.25,EUR
LU1681047079,AMUNDI CAC 40 ESG UCITS ETF DR - EUR (D),C4DE,passive,0.25,EUR
LU2240851688,AMUNDI DAX 50 ESG UCITS ETF DR (C),DESG,passive,0.15,EUR
LU1829219127,Amundi EUR Corp Bond Climate Net Zero Ambition PAB UCITS ETF,LYCRP,passive,0.2,EUR
LU1681047236,AMUNDI EURO STOXX 50 UCITS ETF DR - EUR (C),C50,passive,0.15,EUR
LU1681047319,AMUNDI EURO STOXX 50 UCITS ETF DR - EUR (D),CD5E,passive,0.15,EUR
LU1681047400,AMUNDI EURO STOXX 50 UCITS ETF DR - USD (C),C50U,passive,0.15,USD
LU1681040900,AMUNDI FLOATING RATE USD CORPORATE ESG UCITS ETF DR USD (C),AFLT,passive,0.18,USD
LU1681041031,AMUNDI FRN USD CORPORATE ESG UCITS ETF DR HEDGED EUR (C),AFLE,passive,0.2,EUR
LU1681041205,AMUNDI GLOBAL EMERGING BOND MARKIT IBOXX UCITS ETF DR - USD,AGEB,passive,0.3,USD
LU1681046261,AMUNDI GOVT BOND EURO BROAD INVESTMENT GRADE UCITS ETF DR,CB3,passive,0.14,EUR
LU1681046345,AMUNDI GOVT BOND LOWEST RATED EURO INVESTMENT GRADE 1-3 UCIT,X13G,passive,0.14,EUR
LU1681046774,AMUNDI GOVT BOND LOWEST RATED EURO INVESTMENT GRADE UCITS,X1G,passive,0.14,EUR
LU1681046857,AMUNDI GOVT BOND LOWEST RATED EURO INVESTMENT GRADE UCITS,X1GD,passive,0.14,EUR
LU1681042609,AMUNDI INDEX MSCI EUROPE ESG BROAD CTB,CEU,passive,0.12,EUR
LU1681038169,AMUNDI JAPAN TOPIX UCITS ETF - DAILY HEDGED CHF (C),TPHC,passive,0.48,CHF
LU1681037864,AMUNDI JAPAN TOPIX UCITS ETF - DAILY HEDGED EUR (C),TPXH,passive,0.48,EUR
LU1681038086,AMUNDI JAPAN TOPIX UCITS ETF - DAILY HEDGED GBP (C),TPHG,passive,0.48,GBP
LU1681037948,AMUNDI JAPAN TOPIX UCITS ETF - DAILY HEDGED USD (C),TPHU,passive,0.48,USD
LU1681037609,AMUNDI JAPAN TOPIX UCITS ETF - EUR (C),TPXE,passive,0.2,EUR
LU1681037781,AMUNDI JAPAN TOPIX UCITS ETF - JPY (C),TPXY,passive,0.2,JPY
LU1681047665,AMUNDI JPX-NIKKEI 400 UCITS ETF - DAILY HEDGED CHF (C),JPHC,passive,0.18,CHF
LU1681039134,AMUNDI JPX-NIKKEI 400 UCITS ETF - DAILY HEDGED EUR (C),JPHE,passive,0.18,EUR
LU1681039308,AMUNDI JPX-NIKKEI 400 UCITS ETF - DAILY HEDGED GBP (C),JPHG,passive,0.18,GBP
LU1681039217,AMUNDI JPX-NIKKEI 400 UCITS ETF - DAILY HEDGED USD (C),JPHU,passive,0.18,USD
LU1681038912,AMUNDI JPX-NIKKEI 400 UCITS ETF - EUR (C),JPNK,passive,0.18,EUR
LU1681039050,AMUNDI JPX-NIKKEI 400 UCITS ETF - JPY (C),JPNY,passive,0.18,JPY
LU1437024992,AMUNDI MSCI BRAZIL,BRZ,passive,0.55,USD
LU1681043912,AMUNDI MSCI CHINA UCITS ETF - EUR (C),CC1E,passive,0.55,EUR
LU1681044050,AMUNDI MSCI CHINA UCITS ETF - USD (C),CC1USD,passive,0.55,USD
LU1681043755,AMUNDI MSCI EASTERN EUROPE EX RUSSIA UCITS ETF - EUR (C),CE9E,passive,0.2,EUR
LU1681043839,AMUNDI MSCI EASTERN EUROPE EX RUSSIA UCITS ETF - USD (C),CE9USD,passive,0.2,USD
LU1681044480,AMUNDI MSCI EM ASIA UCITS ETF - EUR (C),AASI,passive,0.2,EUR
LU1681044563,AMUNDI MSCI EM ASIA UCITS ETF - USD (C),AASU,passive,0.2,USD
LU1681045024,AMUNDI MSCI EM LATIN AMERICA UCITS ETF - EUR (C),ALAT,passive,0.2,EUR
LU1681045297,AMUNDI MSCI EM LATIN AMERICA UCITS ETF - USD (C),ALAU,passive,0.2,USD
LU2573966905,Amundi MSCI Emerging Markets II UCITS ETF - Dist,CBMEM,passive,0.14,CHF
LU2573966905,Amundi MSCI Emerging Markets II UCITS ETF - Dist,CBMEM,passive,0.14,USD
LU1681045370,AMUNDI MSCI EMERGING MARKETS UCITS ETF - EUR (C),AEEM,passive,0.2,EUR
LU1681045453,AMUNDI MSCI EMERGING MARKETS UCITS ETF - USD (C),AUEM,passive,0.2,USD
LU1681044308,AMUNDI MSCI EUROPE EX SWITZERLAND ESG LEADERS UCITS ETF DR C,CS9,passive,0.3,EUR
LU1681043086,AMUNDI MSCI INDIA UCITS ETF - EUR (C),CI2E,passive,0.8,EUR
LU1681043169,AMUNDI MSCI INDIA UCITS ETF - USD (C),CI2USD,passive,0.8,USD
LU1781541682,Amundi MSCI Japan - Daily Hedged to GBP -Acc,LYJPG,passive,0.2,GBP
LU2090063673,Amundi MSCI Japan UCITS ETF,LJPN,passive,0.12,CHF
LU1681044647,AMUNDI MSCI NORDIC UCITS ETF - EUR (C),CN1,passive,0.25,EUR
LU2572257397,Amundi MSCI Pacific ESG Climate Net Zero Ambition CTB-UCITS,CBMPUS,passive,0.45,USD
LU1681044993,AMUNDI MSCI SWITZERLAND UCITS ETF - CHF (C),CSWCHF,passive,0.25,CHF
LU1681044720,AMUNDI MSCI SWITZERLAND UCITS ETF - EUR (C),CSWE,passive,0.25,EUR
IE000VML2GZ3,AMUNDI MSCI USA ESG LEADERS EXTRA UCITS ETF DR - USD (A),LUESG,passive,0.1,CHF
LU1681042864,AMUNDI MSCI USA UCITS ETF - EUR (C),CU2E,passive,0.28,EUR
LU1681042948,AMUNDI MSCI USA UCITS ETF - USD (C),CU2USD,passive,0.28,USD
LU1681046006,AMUNDI MSCI WORLD ENERGY UCITS ETF - EUR (C),CWEE,passive,0.35,EUR
LU1681046188,AMUNDI MSCI WORLD ENERGY UCITS ETF - USD (C),CWEUSD,passive,0.35,USD
LU1681045537,AMUNDI MSCI WORLD EX EUROPE UCITS ETF - EUR (C),CE8E,passive,0.35,EUR
LU1681045883,AMUNDI MSCI WORLD FINANCIALS UCITS ETF - EUR (C),CWFE,passive,0.35,EUR
LU1681045966,AMUNDI MSCI WORLD FINANCIALS UCITS ETF - USD (C),CWFUSD,passive,0.35,USD
LU1681043599,AMUNDI MSCI WORLD UCITS ETF - EUR (C),CW8E,passive,0.38,EUR
LU1681043672,AMUNDI MSCI WORLD UCITS ETF - USD (C),CW8USD,passive,0.38,USD
LU1681038672,AMUNDI RUSSELL 2000 UCITS ETF - EUR (C),RS2K,passive,0.35,EUR
LU1681038839,AMUNDI RUSSELL 2000 UCITS ETF - USD (C),RS2U,passive,0.35,USD
LU1681049109,AMUNDI S&P 500 UCITS ETF - DAILY HEDGED EUR (C),H500,passive,0.28,EUR
LU1681048804,AMUNDI S&P 500 UCITS ETF - EUR (C),500E,passive,0.15,EUR
LU1681049018,AMUNDI S&P 500 UCITS ETF - USD (C),500USD,passive,0.15,USD
LU1681048630,AMUNDI S&P GLOBAL LUXURY UCITS ETF - EUR (C),GLUX,passive,0.25,EUR
LU1681048713,AMUNDI S&P GLOBAL LUXURY UCITS ETF - USD (C),LUXU,passive,0.25,USD
IE000XLJ2JQ9,Amundi S&P SmallCap 600 ESG UCITS ETF D CHF,USASUS,passive,0.35,CHF
IE000XLJ2JQ9,Amundi S&P SmallCap 600 ESG UCITS ETF D CHF,USASUS,passive,0.35,USD
LU2037748345,AMUNDI SMART CITY UCITS ETF - EUR (C),SCITY,passive,0.35,USD
LU2037749822,AMUNDI SMART FACTORY UCITS ETF - EUR (C),SFTRY,passive,0.35,USD
