ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency,info
IE00B5ZR2157,PIMCO Euro Short Maturity UCITS ETF,PJS1,Active ETF,"0,35%",Distributing,EUR,"Bonds,Europe,Aggregate,0-3"
LU0599612842,Ossiam Europe ESG Machine Learning UCITS ETF - 1C (EUR),OSX4,Active ETF,"0,65%",Accumulating,EUR,"Equity,Europe,Social/Environmental"
IE00BF8HV717,PIMCO Covered Bond UCITS ETF,COVR,Active ETF,"0,43%",Distributing,EUR,"Bonds,Europe,CoveredBonds,Allmaturities"
IE00BP9F2J32,PIMCO Euro Low Duration Corporate Bond UCITS ETF,LDCE,Active ETF,"0,49%",Distributing,EUR,"Bonds,Europe,Corporate,3-5"
IE00BVZ6SP04,PIMCO Euro Short Maturity UCITS ETF EUR ACC,PJSR,Active ETF,"0,35%",Accumulating,EUR,"Bonds,Europe,Aggregate,0-3"
DE000ETF7011,Lyxor Portfolio Strategy UCITS ETF,F701,Active ETF,"0,45%",Distributing,EUR,"Equity,World,Multi-AssetStrategy"
IE00BDFC6Q91,JPM USD Ultra-Short Income UCITS ETF,JPPS,Active ETF,"0,18%",Distributing,EUR,"Bonds,World,Corporate,0-3"
DE000ETF7029,Lyxor Portfolio Strategy Defensive UCITS ETF,F702,Active ETF,"0,40%",Distributing,EUR,"Equity,World,Multi-AssetStrategy"
DE000ETF7037,Lyxor Portfolio Strategy Offensive UCITS ETF,F703,Active ETF,"0,52%",Distributing,EUR,"Equity,World,Multi-AssetStrategy"
IE00BKZGB098,HSBC Multi-Factor Worldwide Equity UCITS ETF,H41J,Active ETF,"0,25%",Distributing,EUR,"Equity,World,Multi-FactorStrategy"
IE00BF92LV92,Ossiam ESG Low Carbon Shiller Barclays CAPE US Sector UCITS ETF - 1A (EUR),5HEE,Active ETF,"0,75%",Accumulating,EUR,"Equity,UnitedStates,SectorStrategy,ClimateChange"
IE00BF92LR56,Ossiam ESG Low Carbon Shiller Barclays CAPE US Sector UCITS ETF - 1A (USD),5HED,Active ETF,"0,75%",Accumulating,USD,"Equity,UnitedStates,SectorStrategy,ClimateChange"
IE00BD9MMF62,JPM EUR Ultra-Short Income UCITS ETF - EUR (acc),JEST,Active ETF,"0,08%",Accumulating,EUR,"Bonds,World,Corporate,0-3"
IE00BFWXDY69,Franklin Euro Short Maturity UCITS ETF,FVSH,Active ETF,"0,05%",Distributing,EUR,"Bonds,World,Aggregate,0-3"
IE00BFWXDX52,Franklin USD Investment Grade Corporate Bond UCITS ETF,FVUI,Active ETF,"0,35%",Distributing,EUR,"Bonds,UnitedStates,Corporate,Allmaturities"
IE00BF4G7183,JPM Europe Research Enhanced Index Equity (ESG) UCITS ETF - EUR (acc),JREE,Active ETF,"0,25%",Accumulating,EUR,"Equity,Europe,Social/Environmental"
IE00BF4G6Y48,JPM Global Research Enhanced Index Equity (ESG) UCITS ETF - USD (acc),JREG,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Social/Environmental"
IE00BF4G7076,JPM US Research Enhanced Index Equity (ESG) UCITS ETF - USD (acc),JREU,Active ETF,"0,20%",Accumulating,EUR,"Equity,UnitedStates,Social/Environmental"
IE00BF59RW70,JPM EUR Corporate Bond 1-5 yr Research Enhanced Index (ESG) UCITS ETF - EUR (acc),JER5,Active ETF,"0,19%",Accumulating,EUR,"Bonds,World,Corporate,3-5"
IE00BF59RX87,JPM EUR Corporate Bond Research Enhanced Index (ESG) UCITS ETF - EUR (acc),JREB,Active ETF,"0,19%",Accumulating,EUR,"Bonds,World,Corporate,Allmaturities"
IE00BF4G6Z54,JPM Global Emerging Markets Research Enhanced Index Equity (ESG) UCITS ETF,JREM,Active ETF,"0,30%",Accumulating,EUR,"Equity,EmergingMarkets,Social/Environmental"
IE00BF59RV63,JPM USD Corporate Bond Research Enhanced Index (ESG) UCITS ETF - USD (acc),JRUB,Active ETF,"0,19%",Accumulating,EUR,"Bonds,World,Corporate,Allmaturities"
IE00BG8BCY43,JPM USD Ultra-Short Income UCITS ETF,JPPA,Active ETF,"0,18%",Accumulating,EUR,"Bonds,World,Corporate,0-3"
IE00BHZRR253,Franklin Euro Green Bond UCITS ETF,FLRG,Active ETF,"0,18%",Accumulating,EUR,"Bonds,Europe,Aggregate,Allmaturities"
IE00BJBLDK52,Ossiam US ESG Low Carbon Equity Factors UCITS ETF (EUR),OUFE,Active ETF,"0,45%",Accumulating,EUR,"Equity,UnitedStates,Multi-FactorStrategy,ClimateChange"
IE00BJBLDJ48,Ossiam US ESG Low Carbon Equity Factors UCITS ETF (USD),OUFU,Active ETF,"0,45%",Accumulating,USD,"Equity,UnitedStates,Multi-FactorStrategy,ClimateChange"
IE00BJQRDP39,Invesco Quantitative Strategies ESG Global Equity Multi-factor UCITS ETF EUR Hdg Acc,IQSE,Active ETF,"0,30%",Accumulating,EUR,"Equity,World,Multi-FactorStrategy"
IE00BJQRDN15,Invesco Quantitative Strategies ESG Global Equity Multi-factor UCITS ETF Acc,IQSA,Active ETF,"0,30%",Accumulating,EUR,"Equity,World,Multi-FactorStrategy"
IE00BJ06C044,JPM US Research Enhanced Index Equity (ESG) UCITS ETF - USD (dist),JRUD,Active ETF,"0,20%",Distributing,EUR,"Equity,UnitedStates,Social/Environmental"
IE00BKSBGS44,Fidelity Sustainable Research Enhanced US Equity UCITS ETF - Acc,FUSR,Active ETF,"0,30%",Accumulating,EUR,"Equity,UnitedStates,Social/Environmental"
IE00BKSBGT50,Fidelity Sustainable Research Enhanced Europe Equity UCITS ETF - Acc,FEUR,Active ETF,"0,30%",Accumulating,EUR,"Equity,Europe,Social/Environmental"
IE00BKSBGV72,Fidelity Sustainable Research Enhanced Global Equity UCITS ETF - Acc,FGLR,Active ETF,"0,35%",Accumulating,EUR,"Equity,World,Social/Environmental"
IE00BLP53M98,BlackRock ESG Multi-Asset Conservative Portfolio UCITS ETF EUR (Acc),MACV,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Social/Environmental,Multi-AssetStrategy"
IE00BLLZQS08,BlackRock ESG Multi-Asset Moderate Portfolio UCITS ETF EUR (Acc),MODR,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Social/Environmental,Multi-AssetStrategy"
IE00BLLZQ805,BlackRock ESG Multi-Asset Growth Portfolio UCITS ETF EUR (Acc),MAGR,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Social/Environmental,Multi-AssetStrategy"
LU2082999306,Lyxor Smart Overnight Return - UCITS ETF D-EUR,EGV2,Active ETF,"0,05%",Distributing,EUR,"MoneyMarket,EUR"
IE00BMYMHS24,Saturna Al-Kawthar Global Focused Equity UCITS ETF - Acc,ASWE,Active ETF,"0,75%",Accumulating,EUR,"Equity,World,IslamicInvesting"
IE00BLRPN388,Fidelity Sustainable Research Enhanced Emerging Markets Equity UCITS ETF - Acc,FYER,Active ETF,"0,50%",Accumulating,EUR,"Equity,EmergingMarkets,Social/Environmental"
